date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:55	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Nov%202020%2012:48:39%20GMT	https://www.cortexcopywriter.com/robots.txt		(from )
17:47:55	50648/50648	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202020%2017:58:32%20GMT	https://www.cortexcopywriter.com/	F:/Templates/cortex%20copy/www.cortexcopywriter.com/index.html	(from )
17:47:56	6487/6487	---M--	200	added ('OK')	image/png	date:Sun,%2005%20May%202019%2015:11:09%20GMT	https://www.cortexcopywriter.com/apple-touch-icon.png	F:/Templates/cortex%20copy/www.cortexcopywriter.com/apple-touch-icon.png	(from https://www.cortexcopywriter.com/)
17:47:56	1210/1210	---M--	200	added ('OK')	image/png	date:Sun,%2005%20May%202019%2015:11:12%20GMT	https://www.cortexcopywriter.com/favicon-32x32.png	F:/Templates/cortex%20copy/www.cortexcopywriter.com/favicon-32x32.png	(from https://www.cortexcopywriter.com/)
17:47:57	707/707	---M--	200	added ('OK')	image/png	date:Sun,%2005%20May%202019%2015:11:12%20GMT	https://www.cortexcopywriter.com/favicon-16x16.png	F:/Templates/cortex%20copy/www.cortexcopywriter.com/favicon-16x16.png	(from https://www.cortexcopywriter.com/)
17:47:58	426/426	---M--	200	added ('OK')	text/html	date:Sun,%2005%20May%202019%2015:11:14%20GMT	https://www.cortexcopywriter.com/site.webmanifest	F:/Templates/cortex%20copy/www.cortexcopywriter.com/site.html	(from https://www.cortexcopywriter.com/)
17:48:00	16675/16675	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2005%20May%202019%2015:11:14%20GMT	https://www.cortexcopywriter.com/safari-pinned-tab.svg	F:/Templates/cortex%20copy/www.cortexcopywriter.com/safari-pinned-tab.svg	(from https://www.cortexcopywriter.com/)
17:48:01	67788/67788	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2010:37:38%20GMT	https://www.cortexcopywriter.com/css/main.css	F:/Templates/cortex%20copy/www.cortexcopywriter.com/css/main.css	(from https://www.cortexcopywriter.com/)
17:48:02	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	F:/Templates/cortex%20copy/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.cortexcopywriter.com/)
17:48:04	115316/115316	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1c274%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.20.4/TweenMax.min.js	F:/Templates/cortex%20copy/cdnjs.cloudflare.com/ajax/libs/gsap/1.20.4/TweenMax.min.js	(from https://www.cortexcopywriter.com/)
17:48:05	2945/2945	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-b81%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/2.0.2/plugins/TextPlugin.min.js	F:/Templates/cortex%20copy/cdnjs.cloudflare.com/ajax/libs/gsap/2.0.2/plugins/TextPlugin.min.js	(from https://www.cortexcopywriter.com/)
17:48:06	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e283%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	F:/Templates/cortex%20copy/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	(from https://www.cortexcopywriter.com/)
17:48:06	597/597	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20May%202019%2009:51:08%20GMT	https://www.cortexcopywriter.com/js/cortex2-animatecss_functions.js	F:/Templates/cortex%20copy/www.cortexcopywriter.com/js/cortex2-animatecss_functions.js	(from https://www.cortexcopywriter.com/)
17:48:07	127934/127934	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-1f3be%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.5.0/js/swiper.min.js	F:/Templates/cortex%20copy/cdnjs.cloudflare.com/ajax/libs/Swiper/4.5.0/js/swiper.min.js	(from https://www.cortexcopywriter.com/)
